id,course_id,teacher_id,class_id,department,classroom_id,school_year,semester,week,jieci,biweekly,starting_and_ending_weeks,num_of_class
(2020-2021-1)-0401140051-0000836-7,0401140051,0000836,2018010217,,0209312,2020-2021,1,星期一,"第7,8节",单,1—1,97
(2020-2021-1)-0401140051-0000836-8,0401140051,0000836,2018010218,,0209312,2020-2021,1,星期一,"第7,8节",单,1—1,97
(2020-2021-1)-0401140051-0000306-3,0401140051,0000306,2018010120,,0209427,2020-2021,1,星期一,"第7,8节",单,11—11,78
(2020-2021-1)-0401140051-0000306-4,0401140051,0000306,2018010121,,0209427,2020-2021,1,星期一,"第7,8节",单,11—11,78
(2020-2021-1)-0401140051-0000827-9,0401140051,0000827,2018010141,,0202205,2020-2021,1,星期一,"第7,8节",单,11—11,116
(2020-2021-1)-0401140051-0000827-10,0401140051,0000827,2018010154,,0202205,2020-2021,1,星期一,"第7,8节",单,11—11,116
(2020-2021-1)-0401140051-0001176-3,0401140051,0000319,2018010142,,0201201,2020-2021,1,星期一,"第7,8节",单,11—11,114
(2020-2021-1)-0401140051-0001176-4,0401140051,0000319,2018010143,,0201201,2020-2021,1,星期一,"第7,8节",单,11—11,114
(2020-2021-1)-0401140051-0000836-9,0401140051,0000836,2018010217,,0209312,2020-2021,1,星期一,"第7,8节",单,11—11,97
(2020-2021-1)-0401140051-0000836-10,0401140051,0000836,2018010218,,0209312,2020-2021,1,星期一,"第7,8节",单,11—11,97
(2020-2021-1)-0401140051-0000306-5,0401140051,0000306,2018010120,,0209427,2020-2021,1,星期一,"第7,8节",单,9—9,78
(2020-2021-1)-0401140051-0000306-6,0401140051,0000306,2018010121,,0209427,2020-2021,1,星期一,"第7,8节",单,9—9,78
(2020-2021-1)-0401140051-0000827-11,0401140051,0000827,2018010141,,0202205,2020-2021,1,星期一,"第7,8节",单,9—9,116
(2020-2021-1)-0401140051-0000827-12,0401140051,0000827,2018010154,,0202205,2020-2021,1,星期一,"第7,8节",单,9—9,116
(2020-2021-1)-0401140051-0001176-5,0401140051,0000319,2018010142,,0201201,2020-2021,1,星期一,"第7,8节",单,9—9,114
(2020-2021-1)-0401140051-0001176-6,0401140051,0000319,2018010143,,0201201,2020-2021,1,星期一,"第7,8节",单,9—9,114
(2020-2021-1)-0401140051-0000836-11,0401140051,0000836,2018010217,,0209312,2020-2021,1,星期一,"第7,8节",单,9—9,97
(2020-2021-1)-0401140051-0000836-12,0401140051,0000836,2018010218,,0209312,2020-2021,1,星期一,"第7,8节",单,9—9,97
(2020-2021-1)-0705145041-0002304-1,0705145041,0002304,2019010211,,0201314,2020-2021,1,星期一,"第7,8节",,1—8,62
(2020-2021-1)-1602140051-0000625-1,1602140051,0001356,2019010115,,0209521,2020-2021,1,星期一,"第7,8节",,1—14,43
(2020-2021-1)-1602140051-0000625-2,1602140051,0000625,2019010115,,0209521,2020-2021,1,星期一,"第7,8节",,1—14,43
(2020-2021-1)-0806145252-0000846-1,0806145252,0000846,2019010223,,0209523,2020-2021,1,星期一,"第7,8节",,1—8,50
(2020-2021-1)-1203140571-0001257-1,1203140571,0001257,2018010208,,0203101,2020-2021,1,星期一,"第7,8节",,1—6,34
(2020-2021-1)-1403145121-0002219-2,1403145121,0002219,2018010155,,0201516,2020-2021,1,星期一,"第7,8节",,1—16,50
(2020-2021-1)-0106141181-0001232-2,0106141181,0001232,2018010129,,0203110,2020-2021,1,星期一,"第7,8节",,1—16,53
(2020-2021-1)-0102140181-0000488-2,0102140181,0000488,2018010128,,0201311,2020-2021,1,星期一,"第7,8节",,1—16,59
(2020-2021-1)-1602142021-0000057-1,1602142021,0000057,2018010213,,0209426,2020-2021,1,星期一,"第7,8节",,1—16,45
(2020-2021-1)-1603142101-0001088-2,1603142101,0001088,2019010197,,0201319,2020-2021,1,星期一,"第7,8节",,1—16,47
(2020-2021-1)-1302142031-0002233-1,1302142031,0002382,2020010153,,0203203,2020-2021,1,星期一,"第7,8节",,3—18,45
(2020-2021-1)-1302143051-0000963-2,1302143051,0000963,2020010191,,0203210,2020-2021,1,星期一,"第7,8节",,3—14,42
(2020-2021-1)-1303143031-0001209-1,1303143031,0001209,2018010215,,0201513,2020-2021,1,星期一,"第7,8节",,1—12,55
(2020-2021-1)-0902140051-0002139-1,0902140051,0002139,2019010171,,0201307,2020-2021,1,星期一,"第7,8节",,1—12,44
(2020-2021-1)-0602142101-0000909-1,0602142101,0000909,2019010129,,0208503,2020-2021,1,星期一,"第7,8节",,1—6,49
(2020-2021-1)-0306142031-0001410-3,0306142031,0001410,2019010180,,0201306,2020-2021,1,星期一,"第7,8节",,1—6,33
(2020-2021-1)-0306243171-0001035-4,0306243171,0001035,2018010139,,0204307,2020-2021,1,星期一,"第7,8节",,16—19,25
(2020-2021-1)-0306243171-0000616-4,0306243171,0000616,2018010140,,0204309,2020-2021,1,星期一,"第7,8节",,16—19,22
(2020-2021-1)-0306243171-0001198-4,0306243171,0001255,2018010137,,0204308,2020-2021,1,星期一,"第7,8节",,16—19,28
(2020-2021-1)-0306243171-0001061-4,0306243171,0001061,2018010138,,0202209,2020-2021,1,星期一,"第7,8节",,16—19,26
(2020-2021-1)-1505006210-0000149-4,1505006210,0000149,2017010123,,0210503,2020-2021,1,星期一,"第7,8节",,8—11,29
(2020-2021-1)-1505006210-0002372-4,1505006210,0002372,2017010121,,0210501,2020-2021,1,星期一,"第7,8节",,8—11,26
(2020-2021-1)-1505006210-0001061-4,1505006210,0001061,2017010120,,0210504,2020-2021,1,星期一,"第7,8节",,8—11,28
(2020-2021-1)-1505006210-0000942-4,1505006210,0000942,2017010122,,0210502,2020-2021,1,星期一,"第7,8节",,8—11,27
(2020-2021-1)-0306242151-0001195-13,0306242151,0001195,2018010195,,0211513,2020-2021,1,星期一,"第7,8节",单,3—3,27
(2020-2021-1)-0306242151-0001195-14,0306242151,0001195,2018010195,,0211513,2020-2021,1,星期一,"第7,8节",单,5—7,27
(2020-2021-1)-0306242151-0001195-15,0306242151,0001195,2018010195,,0211513,2020-2021,1,星期一,"第7,8节",单,3—7,27
(2020-2021-1)-0306242151-0000941-4,0306242151,0000941,2018010193,,0201203,2020-2021,1,星期一,"第7,8节",,12—15,27
(2020-2021-1)-0306242151-0001195-16,0306242151,0001195,2018010194,,0211507,2020-2021,1,星期一,"第7,8节",,14—17,27
(2020-2021-1)-0401140061-0001942-1,0401140061,0001963,2020010132,,0201401,2020-2021,1,星期一,"第7,8节",,6—9,79
(2020-2021-1)-0401140061-0001942-2,0401140061,0001963,2020010133,,0201401,2020-2021,1,星期一,"第7,8节",,6—9,79
(2020-2021-1)-0401140061-0001302-2,0401140061,0001302,2020010129,,0201403,2020-2021,1,星期一,"第7,8节",,6—9,100
(2020-2021-1)-0401140061-0001302-3,0401140061,0001302,2020010130,,0201403,2020-2021,1,星期一,"第7,8节",,6—9,100
(2020-2021-1)-0401140081-0001299-5,0401140081,0001299,2019010139,,0201209,2020-2021,1,星期一,"第7,8节",,3—6,89
(2020-2021-1)-0401140081-0001299-6,0401140081,0001299,2019010141,,0201209,2020-2021,1,星期一,"第7,8节",,3—6,89
(2020-2021-1)-0401140081-0000827-2,0401140081,0000827,2019010103,,0202204,2020-2021,1,星期一,"第7,8节",,5—8,94
(2020-2021-1)-0401140081-0000827-3,0401140081,0000827,2019010110,,0202204,2020-2021,1,星期一,"第7,8节",,5—8,94
(2020-2021-1)-0401140081-0002111-1,0401140081,0002111,2019010126,,0201209,2020-2021,1,星期一,"第7,8节",,7—10,80
(2020-2021-1)-0401140081-0002111-2,0401140081,0002111,2019010127,,0201209,2020-2021,1,星期一,"第7,8节",,7—10,80
(2020-2021-1)-0306242141-0000147-4,0306242141,0000147,2018010193,,0204309,2020-2021,1,星期一,"第7,8节",,1—2,27
(2020-2021-1)-0306242141-0001039-4,0306242141,0001039,2018010194,,0210508,2020-2021,1,星期一,"第7,8节",,1—2,27
(2020-2021-1)-0306242141-0000153-4,0306242141,0000153,2018010195,,0201212,2020-2021,1,星期一,"第7,8节",,1—2,27
(2020-2021-1)-0101141221-0001049-3,0101141221,0001049,2019010225,,0209527A,2020-2021,1,星期一,"第7,8节",,1—8,50
(2020-2021-1)-0101141221-0001034-3,0101141221,0001034,2018010134,,0209524A,2020-2021,1,星期一,"第7,8节",,1—8,31
(2020-2021-1)-0101141221-0001400-3,0101141221,0001400,2020010160,,0201411,2020-2021,1,星期一,"第7,8节",,3—10,26
(2020-2021-1)-0101141221-0001462-3,0101141221,0001462,2020010179,,0201514,2020-2021,1,星期一,"第7,8节",,6—13,28
(2020-2021-1)-0101141221-0000036-2,0101141221,0000036,2020010108,,0208515,2020-2021,1,星期一,"第7,8节",,6—13,30
(2020-2021-1)-0101141221-0000417-2,0101141221,0000417,2020010142,,0202312,2020-2021,1,星期一,"第7,8节",,6—13,56
(2020-2021-1)-0101141221-0000056-5,0101141221,0002137,2020010151,,0201314,2020-2021,1,星期一,"第7,8节",,9—16,45
(2020-2021-1)-0101141221-0000056-6,0101141221,0000056,2020010151,,0201314,2020-2021,1,星期一,"第7,8节",,9—16,45
(2020-2021-1)-0101141221-0001034-4,0101141221,0001034,2020010122,,0209524A,2020-2021,1,星期一,"第7,8节",,9—16,48
(2020-2021-1)-0303245911-0000144-4,0303245911,0000144,2019010159,,0212413,2020-2021,1,星期一,"第7,8节",,10—15,8
(2020-2021-1)-0303245931-0000144-4,0303245931,0000144,2018010171,,0212413,2020-2021,1,星期一,"第7,8节",,10—15,9
(2020-2021-1)-0303245851-0000764-4,0303245851,0000764,2019010159,,0212413,2020-2021,1,星期一,"第7,8节",,1—4,8
(2020-2021-1)-0303245871-0000764-4,0303245871,0000764,2018010171,,0212413,2020-2021,1,星期一,"第7,8节",,1—4,9
(2020-2021-1)-0303245432-0000144-4,0303245432,0000144,2019010159,,0212413,2020-2021,1,星期一,"第7,8节",,6—9,8
(2020-2021-1)-0303245442-0000144-4,0303245442,0000144,2018010171,,0212413,2020-2021,1,星期一,"第7,8节",,6—9,9
(2020-2021-1)-0303246111-0000982-4,0303246111,0000982,2019010160,,0212415,2020-2021,1,星期一,"第7,8节",,10—15,9
(2020-2021-1)-0303246131-0000982-4,0303246131,0000982,2018010172,,0212415,2020-2021,1,星期一,"第7,8节",,10—15,7
(2020-2021-1)-0303246051-0002375-4,0303246051,0002375,2019010160,,0212415,2020-2021,1,星期一,"第7,8节",,1—4,9
(2020-2021-1)-0303246071-0002375-4,0303246071,0002375,2018010172,,0212415,2020-2021,1,星期一,"第7,8节",,1—4,7
(2020-2021-1)-0303245542-0000982-7,0303245542,0000982,2018010172,,0212415,2020-2021,1,星期一,"第7,8节",,6—9,7
(2020-2021-1)-0303245542-0000982-8,0303245542,0000982,2019010160,,0212415,2020-2021,1,星期一,"第7,8节",,6—9,9
(2020-2021-1)-0303245711-0000143-4,0303245711,0000143,2019010158,,0212411,2020-2021,1,星期一,"第7,8节",,6—11,9
(2020-2021-1)-0303245731-0000143-4,0303245731,0000143,2018010170,,0212411,2020-2021,1,星期一,"第7,8节",,6—11,9
(2020-2021-1)-0303245651-0001147-4,0303245651,0001147,2019010158,,0212411,2020-2021,1,星期一,"第7,8节",,1—4,9
(2020-2021-1)-0303245671-0001147-4,0303245671,0001147,2018010170,,0212411,2020-2021,1,星期一,"第7,8节",,1—4,9
(2020-2021-1)-0303245332-0000143-4,0303245332,0000143,2019010158,,0212411,2020-2021,1,星期一,"第7,8节",,12—15,9
(2020-2021-1)-0303245342-0000143-4,0303245342,0000143,2018010170,,0212411,2020-2021,1,星期一,"第7,8节",,12—15,9
(2020-2021-1)-1505106020-0000764-4,1505106020,0000764,2017010139,,0203213,2020-2021,1,星期一,"第7,8节",,6—11,41
(2020-2021-1)-1505405003-0000996-7,1505405003,0000996,2017010104,,0210508,2020-2021,1,星期一,"第7,8节",,11—14,33
(2020-2021-1)-1505405003-0000996-8,1505405003,0000996,2017010105,,0202209,2020-2021,1,星期一,"第7,8节",,6—9,35
(2020-2021-1)-1702143031-0000251-1,1702143031,0000251,2019010125,,0201308,2020-2021,1,星期一,"第7,8节",,1—16,36
(2020-2021-1)-0703141061-0002024-5,0703141061,0002024,2018010153,,0203102,2020-2021,1,星期一,"第7,8节",,1—8,48
(2020-2021-1)-1105007007-0000155-4,1105007007,0000155,2017010148,,0210510,2020-2021,1,星期一,"第7,8节",,13—17,38
(2020-2021-1)-1105007007-0001039-4,1105007007,0001039,2017010147,,0210505,2020-2021,1,星期一,"第7,8节",,13—17,37
(2020-2021-1)-0303244151-0000897-4,0303244151,0000897,2018010114,,0208518,2020-2021,1,星期一,"第7,8节",,14—17,29
(2020-2021-1)-1303144071-0000674-1,1303144071,0000674,2018010112,,0201408,2020-2021,1,星期一,"第7,8节",,1—14,67
(2020-2021-1)-1703144132-0001077-1,1703144132,0001077,2019010172,,0209522,2020-2021,1,星期一,"第7,8节",单,1—16,42
(2020-2021-1)-0401140011-0000836-3,0401140011,0000836,2020010102,,0209312,2020-2021,1,星期一,"第7,8节",双,3—16,110
(2020-2021-1)-0401140011-0000836-4,0401140011,0000836,2020010201,,0209312,2020-2021,1,星期一,"第7,8节",双,3—16,110
(2020-2021-1)-0401140011-0002106-5,0401140011,0002106,2020010105,,0208506,2020-2021,1,星期一,"第7,8节",,3—16,78
(2020-2021-1)-0401140011-0002106-6,0401140011,0002106,2020010106,,0208506,2020-2021,1,星期一,"第7,8节",,3—16,78
(2020-2021-1)-0401140011-0002147-1,0401140011,0002147,2020010176,,0208512,2020-2021,1,星期一,"第7,8节",,3—16,102
(2020-2021-1)-0401140011-0002147-2,0401140011,0002147,2020010177,,0208512,2020-2021,1,星期一,"第7,8节",,3—16,102
(2020-2021-1)-0102140161-0002255-3,0102140161,0002255,2018010127,,0201519,2020-2021,1,星期一,"第7,8节",,1—16,55
(2020-2021-1)-0303240041-0000792-4,0303240041,0000792,2020010173,,0201309,2020-2021,1,星期一,"第7,8节",,3—10,34
(2020-2021-1)-1603140081-0000798-2,1603140081,0000798,2020010118,,0203212,2020-2021,1,星期一,"第7,8节",,3—16,42
(2020-2021-1)-1704141562-0002160-1,1704141562,0002160,2019010206,,0201507,2020-2021,1,星期一,"第7,8节",,1—16,43
(2020-2021-1)-0502140041-0000860-2,0502140041,0000860,2020010185,,0209427,2020-2021,1,星期一,"第7,8节",,3—6,56
(2020-2021-1)-1505206003-0000155-4,1505206003,0000155,2017010147,,0210505,2020-2021,1,星期一,"第7,8节",,9—12,37
(2020-2021-1)-1505206003-0001195-4,1505206003,0001195,2017010148,,0210507,2020-2021,1,星期一,"第7,8节",,9—12,38
(2020-2021-1)-0900140022-0000953-1,0900140022,0000953,2019010173,,0212216,2020-2021,1,星期一,"第7,8节",,1—16,39
(2020-2021-1)-1703141361-0001259-5,1703141361,0001259,2018010219,,0202303,2020-2021,1,星期一,"第7,8节",,2—17,88
(2020-2021-1)-1703141361-0001259-6,1703141361,0001259,2018010220,,0202303,2020-2021,1,星期一,"第7,8节",,2—17,88
(2020-2021-1)-1704141811-0001590-2,1704141811,0001590,2019010184,,0209308,2020-2021,1,星期一,第7节,,1—16,54
(2020-2021-1)-1502149031-0000015-1,1502149031,0000015,2020010155,,0201404,2020-2021,1,星期一,"第9,10,11节",,3—18,40
(2020-2021-1)-1502149031-0001286-1,1502149031,0002398,2020010114,,0201309,2020-2021,1,星期一,"第9,10,11节",,3—18,41
(2020-2021-1)-0601141011-0001862-1,0601141011,0001862,2020010132,,0209314,2020-2021,1,星期一,"第9,10,11节",,3—10,79
(2020-2021-1)-0601141011-0001862-2,0601141011,0001862,2020010133,,0209314,2020-2021,1,星期一,"第9,10,11节",,3—10,79
(2020-2021-1)-1112007910-0000708-1,1112007910,0000708,2017010153,,0209315,2020-2021,1,星期一,"第9,10,11节",,1—14,33
(2020-2021-1)-0802145031-0000243-1,0802145031,0000243,2019010223,,0209420,2020-2021,1,星期一,"第9,10,11节",,1—12,50
(2020-2021-1)-1704141811-0000998-1,1704141811,0000998,2019010214,,0209312,2020-2021,1,星期一,"第9,10,11节",,1—16,82
(2020-2021-1)-1704141811-0000998-2,1704141811,0000998,2019010216,,0209312,2020-2021,1,星期一,"第9,10,11节",,1—16,82
(2020-2021-1)-0803143111-0000977-1,0803143111,0000977,2020010183,,0203209,2020-2021,1,星期一,"第9,10节",,3—11,45
(2020-2021-1)-0806143003-0000232-1,0806143003,0000232,2020010107,,0201205,2020-2021,1,星期一,"第9,10节",,3—12,37
(2020-2021-1)-0706147021-0000182-1,0706147021,0000182,2019010181,,0208402,2020-2021,1,星期一,"第9,10节",,1—16,59
(2020-2021-1)-1512005002-0001275-1,1512005002,0001275,2017010102,,0209521,2020-2021,1,星期一,"第9,10节",,1—8,34
(2020-2021-1)-1512005002-0001275-2,1512005002,0001371,2017010102,,0209521,2020-2021,1,星期一,"第9,10节",,1—8,34
(2020-2021-1)-0502140071-0001910-1,0502140071,0001910,2019010102,,0209527A,2020-2021,1,星期一,"第9,10节",,2—15,30
(2020-2021-1)-1702141061-0001413-1,1702141061,0001413,2020010196,,0201209,2020-2021,1,星期一,"第9,10节",,3—18,95
(2020-2021-1)-1702141061-0001413-2,1702141061,0001413,2020010197,,0201209,2020-2021,1,星期一,"第9,10节",,3—18,95
(2020-2021-1)-1901140021-0002016-1,1901140021,0002016,2019010154,,0201201,2020-2021,1,星期一,"第9,10节",,1—8,81
(2020-2021-1)-1901140021-0002016-2,1901140021,0002016,2019010155,,0201201,2020-2021,1,星期一,"第9,10节",,1—8,81
(2020-2021-1)-1700140921-0001404-1,1700140921,0001404,2019010103,,0209528B,2020-2021,1,星期一,"第9,10节",,1—16,55
(2020-2021-1)-0201140011-0002171-4,0201140011,0002171,2020010103,,0202513,2020-2021,1,星期一,"第9,10节",,3—16,40
(2020-2021-1)-0201140011-0000824-2,0201140011,0000824,2020010194,,0202408,2020-2021,1,星期一,"第9,10节",,3—16,50
(2020-2021-1)-0201140031-0000959-3,0201140031,0000959,2019010190,,0202501,2020-2021,1,星期一,"第9,10节",单,1—16,39
(2020-2021-1)-0201140031-0000384-4,0201140031,0000384,2019010189,,0209423,2020-2021,1,星期一,"第9,10节",,1—16,45
(2020-2021-1)-0201140031-0000097-4,0201140031,0000097,2019010209,,0202515,2020-2021,1,星期一,"第9,10节",,1—16,45
(2020-2021-1)-0506142152-0001184-1,0506142152,0001184,2018010103,,0209524B,2020-2021,1,星期一,"第9,10节",,1—8,55
(2020-2021-1)-0803140131-0000481-1,0803140131,0000481,2019010112,,0208415,2020-2021,1,星期一,"第9,10节",,1—16,36
(2020-2021-1)-0806140121-0000226-1,0806140121,0000226,2018010107,,0201212,2020-2021,1,星期一,"第9,10节",,1—14,41
(2020-2021-1)-1104240022-0000292-1,1104240022,0000292,2020010179,,0200003,2020-2021,1,星期一,"第9,10节",,3—10,28
(2020-2021-1)-0900140052-0001829-2,0900140052,0001829,2020010170,,0212216,2020-2021,1,星期一,"第9,10节",单,3—13,42
(2020-2021-1)-0402140011-0000701-1,0402140011,0000701,2020010178,,0201215,2020-2021,1,星期一,"第9,10节",,3—14,51
(2020-2021-1)-1203140011-0000923-1,1203140011,0000923,2020010167,,0208405,2020-2021,1,星期一,"第9,10节",,3—17,87
(2020-2021-1)-1203140011-0000923-2,1203140011,0000923,2020010168,,0208405,2020-2021,1,星期一,"第9,10节",,3—17,87
(2020-2021-1)-1203140011-0001961-1,1203140011,0001961,2020010200,,0208406,2020-2021,1,星期一,"第9,10节",,3—17,102
(2020-2021-1)-1203140011-0001961-2,1203140011,0001961,2020010212,,0208406,2020-2021,1,星期一,"第9,10节",,3—17,102
(2020-2021-1)-1002146021-0001135-1,1002146021,0001135,2019010166,,0201214,2020-2021,1,星期一,"第9,10节",,1—14,40
(2020-2021-1)-0502140021-0001020-1,0502140021,0001020,2020010187,,0209522,2020-2021,1,星期一,"第9,10节",,3—10,54
(2020-2021-1)-0502140021-0001817-2,0502140021,0001817,2020010185,,0209307,2020-2021,1,星期一,"第9,10节",,3—10,56
(2020-2021-1)-0603142011-0001125-1,0603142011,0002216,2019010128,,0209523,2020-2021,1,星期一,"第9,10节",,1—16,33
(2020-2021-1)-0603142011-0001125-2,0603142011,0001125,2019010128,,0209523,2020-2021,1,星期一,"第9,10节",,1—16,33
(2020-2021-1)-1511206013-0001318-1,1511206013,0001318,2017010128,,0204504,2020-2021,1,星期一,"第9,10节",,1—8,65
(2020-2021-1)-1511206013-0001318-2,1511206013,0001318,2017010129,,0204504,2020-2021,1,星期一,"第9,10节",,1—8,65
(2020-2021-1)-0503140062-0002012-2,0503140062,0002012,2018010209,,0209526A,2020-2021,1,星期一,"第9,10节",,1—14,44
(2020-2021-1)-1512006104-0000858-1,1512006104,0000858,2017010149,,0209310,2020-2021,1,星期一,"第9,10节",,1—6,21
(2020-2021-1)-1202140031-0000926-1,1202140031,0000926,2020010176,,0201208,2020-2021,1,星期一,"第9,10节",,3—16,111
(2020-2021-1)-1202140031-0000926-2,1202140031,0000926,2020010177,,0201208,2020-2021,1,星期一,"第9,10节",,3—16,111
(2020-2021-1)-1506143762-0000733-1,1506143762,0000733,2018010157,,0201222,2020-2021,1,星期一,"第9,10节",,1—8,48
(2020-2021-1)-1002143051-0001135-1,1002143051,0001333,2019010138,,0208418,2020-2021,1,星期一,"第9,10节",,3—13,49
(2020-2021-1)-1503141861-0000131-2,1503141861,0000131,2018010191,,0201308,2020-2021,1,星期一,"第9,10节",,1—16,33
(2020-2021-1)-1105340042-0000879-1,1105340042,0001460,2019010185,,0200006,2020-2021,1,星期一,"第9,10节",,9—16,31
(2020-2021-1)-1105340042-0000879-2,1105340042,0001460,2019010186,,0200006,2020-2021,1,星期一,"第9,10节",,9—16,31
(2020-2021-1)-1105340042-0000879-3,1105340042,0001460,2019010187,,0200006,2020-2021,1,星期一,"第9,10节",,9—16,31
(2020-2021-1)-1105340042-0000879-4,1105340042,0001460,2019010188,,0200006,2020-2021,1,星期一,"第9,10节",,9—16,31
(2020-2021-1)-0802140001-0001511-1,0802140001,0001511,2020010105,,0203109,2020-2021,1,星期一,"第9,10节",,3—14,40
(2020-2021-1)-1511106017-0001207-1,1511106017,0002402,2017010130,,0202101,2020-2021,1,星期一,"第9,10节",,1—4,41
(2020-2021-1)-1511106017-0001207-2,1511106017,0002402,2017010131,,0202101,2020-2021,1,星期一,"第9,10节",,1—4,41
(2020-2021-1)-1511106017-0001207-3,1511106017,0002402,2017010132,,0202101,2020-2021,1,星期一,"第9,10节",,1—4,41
(2020-2021-1)-0506141041-0001395-1,0506141041,0001395,2018010101,,0209309,2020-2021,1,星期一,"第9,10节",,1—12,39
(2020-2021-1)-0202140061-0001319-1,0202140061,0001319,2019010167,,0209525B,2020-2021,1,星期一,"第9,10节",,1—16,26
(2020-2021-1)-1303142011-0002113-1,1303142011,0002113,2019010153,,0201318,2020-2021,1,星期一,"第9,10节",,1—14,55
(2020-2021-1)-0506140111-0000346-1,0506140111,0000346,2018010211,,0209308,2020-2021,1,星期一,"第9,10节",,4—10,33
(2020-2021-1)-0803140041-0000233-1,0803140041,0000233,2018010206,,0202206,2020-2021,1,星期一,"第9,10节",,1—12,72
(2020-2021-1)-0803140041-0000233-2,0803140041,0000233,2018010207,,0202206,2020-2021,1,星期一,"第9,10节",,1—12,72
(2020-2021-1)-0502140171-0000343-2,0502140171,0000343,2019010196,,0209421,2020-2021,1,星期一,"第9,10节",,4—11,25
(2020-2021-1)-1402140221-0000718-1,1402140221,0000718,2019010116,,0201403,2020-2021,1,星期一,"第9,10节",,1—16,91
(2020-2021-1)-1402140221-0000718-2,1402140221,0000718,2019010117,,0201403,2020-2021,1,星期一,"第9,10节",,1—16,91
(2020-2021-1)-1402140221-0000718-3,1402140221,0000718,2019010226,,0201403,2020-2021,1,星期一,"第9,10节",,1—16,91
(2020-2021-1)-1003146382-0001262-1,1003146382,0001262,2018010178,,0209424,2020-2021,1,星期一,"第9,10节",,1—6,42
(2020-2021-1)-1003146382-0001262-2,1003146382,0001262,2018010179,,0209424,2020-2021,1,星期一,"第9,10节",,1—6,42
(2020-2021-1)-0903144011-0002364-1,0903144011,0002364,2019010171,,0201303,2020-2021,1,星期一,"第9,10节",,1—14,44
(2020-2021-1)-0101141221-0001034-5,0101141221,0001034,2020010115,,0209524A,2020-2021,1,星期一,"第9,10节",,9—16,41
(2020-2021-1)-1103142121-0002037-1,1103142121,0002037,2019010222,,0201203,2020-2021,1,星期一,"第9,10节",,1—12,30
(2020-2021-1)-0303240041-0000792-5,0303240041,0000792,2020010112,,0201311,2020-2021,1,星期一,"第9,10节",,3—10,39
(2020-2021-1)-0303240041-0001410-1,0303240041,0001410,2020010137,,0201218,2020-2021,1,星期一,"第9,10节",,7—14,36
(2020-2021-1)-1704141562-0002160-2,1704141562,0002160,2019010208,,0201313,2020-2021,1,星期一,"第9,10节",,1—16,43
(2020-2021-1)-1104140012-0001050-1,1104140012,0001050,2019010187,,0201307,2020-2021,1,星期一,"第9,10节",,1—8,57
(2020-2021-1)-1104140012-0001050-2,1104140012,0001050,2019010188,,0201307,2020-2021,1,星期一,"第9,10节",,1—8,57
(2020-2021-1)-1106240122-0000293-1,1106240122,0000293,2018010202,,0206303,2020-2021,1,星期一,"第9,10节",,1—16,14
(2020-2021-1)-1512006111-0000916-1,1512006111,0000916,2017010151,,0209313,2020-2021,1,星期一,"第9,10节",,1—8,86
(2020-2021-1)-1512006111-0000916-2,1512006111,0000916,2017010152,,0209313,2020-2021,1,星期一,"第9,10节",,1—8,86
(2020-2021-1)-0303241161-0000825-5,0303241161,0000825,2018010110,,0211508,2020-2021,1,星期二,"第1,2节",,13—16,31
(2020-2021-1)-0303241161-0001150-5,0303241161,0001150,2018010111,,0211513,2020-2021,1,星期二,"第1,2节",,13—16,30
(2020-2021-1)-0702140021-0000191-1,0702140021,0002296,2020010166,,0203210,2020-2021,1,星期二,"第1,2节",,3—14,52
(2020-2021-1)-0702140021-0000191-2,0702140021,0000191,2020010166,,0203210,2020-2021,1,星期二,"第1,2节",,3—14,52
(2020-2021-1)-0306243042-0001149-5,0306243042,0001149,2018010138,,0211506,2020-2021,1,星期二,"第1,2节",,10—11,26
(2020-2021-1)-0306243042-0002373-5,0306243042,0002373,2018010137,,0211502,2020-2021,1,星期二,"第1,2节",,10—11,28
(2020-2021-1)-0706143022-0002349-1,0706143022,0002349,2018010183,,0203108,2020-2021,1,星期二,"第1,2节",双,1—6,48
(2020-2021-1)-0803145131-0000232-2,0803145131,0000232,2019010223,,0204502,2020-2021,1,星期二,"第1,2节",单,1—8,50
(2020-2021-1)-0706142062-0000203-1,0706142062,0000203,2018010181,,0213104,2020-2021,1,星期二,"第1,2节",,1—12,46
(2020-2021-1)-0104140021-0000972-1,0104140021,0002082,2018010125,,0201222,2020-2021,1,星期二,"第1,2节",,1—12,56
(2020-2021-1)-0104140021-0000972-2,0104140021,0000972,2018010125,,0201222,2020-2021,1,星期二,"第1,2节",,1—12,56
(2020-2021-1)-0303246331-0000159-5,0303246331,0000159,2018010164,,0212410,2020-2021,1,星期二,"第1,2节",,10—15,9
(2020-2021-1)-0303246271-0000982-5,0303246271,0000982,2018010164,,0212410,2020-2021,1,星期二,"第1,2节",,1—4,9
(2020-2021-1)-0303245642-0000159-5,0303245642,0000159,2018010164,,0212410,2020-2021,1,星期二,"第1,2节",,6—9,9
(2020-2021-1)-0306243052-0001328-5,0306243052,0001328,2018010140,,0204308,2020-2021,1,星期二,"第1,2节",,10—11,23
(2020-2021-1)-0306243052-0001410-5,0306243052,0001410,2018010139,,0202209,2020-2021,1,星期二,"第1,2节",,10—11,25
(2020-2021-1)-0306242121-0000147-5,0306242121,0000147,2018010194,,0201214,2020-2021,1,星期二,"第1,2节",,8—11,27
